DeveloperName__c,Id,Name,NovaId__c,OW_group_company__c,OW_own_company__c,PartnerCompany__c,ProtectionPartner__c,ReferenceName__c
JUST,a26Qz000000MlQ3IAK,Just,a264J000001QEXCQA4,false,false,false,false,
KILLIK__CO,a26Qz000000MlQ4IAK,Killik & Co,a264J000001QEXDQA4,false,false,false,false,
KINGFISHER,a26Qz000000MlQ5IAK,Kingfisher,a264J000001QEXEQA4,false,false,false,false,
LEGAL__GENERAL,a26Qz000000MlQ6IAK,Legal & General,a264J000001QEXFQA4,false,false,false,false,
LIFESIGHT_WTW,a26Qz000000MlQ7IAK,Lifesight (WTW),a264J000001QEXGQA4,false,false,false,false,
LLOYDS_BANK,a26Qz000000MlQ8IAK,Lloyds Bank,a264J000001QEXHQA4,false,false,false,false,
LLOYDS_BANKING_GROUP,a26Qz000000MlQ9IAK,Lloyds Banking Group,a264J000001QEXIQA4,false,false,false,false,
LLOYDS_PRIVATE_BANKING,a26Qz000000MlQAIA0,Lloyds Private Banking,a264J000001QEXJQA4,false,false,false,false,
LOANPAD,a26Qz000000MlQBIA0,Loanpad,a264J000001QEXKQA4,false,false,false,false,
LV_EQUALS_,a26Qz000000MlQCIA0,LV=,a264J000001QEXLQA4,false,false,false,false,
MG_INVESTMENTS,a26Qz000000MlQDIA0,M&G Investments,a264J000001QEXMQA4,false,false,false,false,
MS,a26Qz000000MlQEIA0,M&S,a264J000001QEXNQA4,false,false,false,false,
MERCER,a26Qz000000MlQFIA0,Mercer,a264J000001QEXOQA4,false,false,false,false,
MERCER_JDE,a26Qz000000MlQGIA0,Mercer (JDE),a264J000001QEXPQA4,false,false,false,false,
MERCER_SMITH__NEPHEW_UK,a26Qz000000MlQHIA0,Mercer (Smith & Nephew UK),a264J000001QEXQQA4,false,false,false,false,
MMC_UK_PENSION_FUND,a26Qz000000MlQIIA0,MMC UK Pension Fund,a264J000001QEXRQA4,false,false,false,false,
MONEYBOX,a26Qz000000MlQJIA0,Moneybox,a264J000001QEXSQA4,false,false,false,false,
MOTOROLA,a26Qz000000MlQKIA0,Motorola,a264J000001QEXTQA4,false,false,false,false,
NATIONWIDE,a26Qz000000MlQLIA0,Nationwide,a264J000001QEXUQA4,false,false,false,false,
NATWEST_RBS,a26Qz000000MlQMIA0,Natwest (RBS),a264J000001QEXVQA4,false,false,false,false,
NEST,a26Qz000000MlQNIA0,NEST,a264J000001QEXWQA4,false,false,false,false,
NEWAGE_CUMMINS,a26Qz000000MlQOIA0,Newage Cummins,a264J000001QEXXQA4,false,false,false,false,
NHS,a26Qz000000MlQPIA0,NHS,a264J000001QEXYQA4,false,false,false,false,
NOWPENSIONS,a26Qz000000MlQQIA0,NOW:Pensions,a264J000001QEXZQA4,false,false,false,false,
NUTMEG,a26Qz000000MlQRIA0,Nutmeg,a264J000001QEXbQAO,false,false,false,false,
OCTOPUS_CASH,a26Qz000000MlQSIA0,Octopus Cash,a264J000001QEXcQAO,false,false,false,false,
OCTOPUS_CHOICE,a26Qz000000MlQTIA0,Octopus Choice,a264J000001QEXdQAO,false,false,false,false,
OCTOPUS_INVESTMENTS,a26Qz000000MlQUIA0,Octopus Investments,a264J000001QEXeQAO,true,false,true,false,OI
NOVA,a26Qz000000MlQVIA0,NOVA Wealth,a264J000001QEXfQAO,false,true,false,false,NOVA
