AdditionalAmlRequirement__c,AdditionalBankDetails__c,DestinationProductRecordType__c,DestinationProductType__c,ExcludeFromUpdate__c,ExpressionOfWishFormRequirement__c,FormsRequired__c,Id,Name,Product__c,Product__r.ReferenceName__c,RecommendationType__c,RecommendationType__r.ReferenceName__c,RecommendationTypeReference__c,ReferenceName__c,TransferFormsRequirement__c,UpdateEmailHeadline__c
Not required,Not required,0121t0000001eUZAAY,0121t0000001eUZAAY,true,Not required,false,a2hQz000000UAtdIAG,Open Aviva Income Protection,a2YQz000000sESyMAM,AVIVA_INCOME_PROTECTION,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_AVIVA_INCOME_PROTECTION,Not required,
Not required,Not required,0121t0000001eU7AAI,0121t0000001eU7AAI,true,Not required,false,a2hQz000000UAteIAG,Open Aviva Life & CIC,a2YQz000000sESzMAM,AVIVA_LIFE_&_CIC,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_AVIVA_LIFE_&_CIC,Not required,
Not required,Not required,0121t0000001eUvAAI,0121t0000001eUvAAI,true,Not required,false,a2hQz000000UAtfIAG,Open Aviva Life Cover,a2YQz000000sESvMAM,AVIVA_SINGLE_LIFE_COVER,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_AVIVA_LIFE_COVER,Not required,
Not required,Not required,012Sl0000003lgjIAA,012Sl0000003lgjIAA,true,Not required,false,a2hQz000000UAtgIAG,Open Aviva Relevant Life Cover,a2YQz000000sESxMAM,AVIVA_RELEVANT_LIFE_COVER,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_AVIVA_RELEVANT_LIFE_COVER,Not required,
Not required,Not required,0124J000000cvmJQAQ,0124J000000cvmJQAQ,true,Not required,false,a2hQz000000UAthIAG,Open Royal London Family Income Benefit,a2YQz000000sET1MAM,ROYAL_LONDON_FIB,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_ROYAL_LONDON_FAMILY_INCOME_BENEFIT,Not required,
Not required,Not required,0121t0000001eUZAAY,0121t0000001eUZAAY,true,Not required,false,a2hQz000000UAtiIAG,Open Royal London Income Protection,a2YQz000000sET3MAM,ROYAL_LONDON_INCOME_PROTECTION,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_ROYAL_LONDON_INCOME_PROTECTION,Not required,
Not required,Not required,0121t0000001eU7AAI,0121t0000001eU7AAI,true,Not required,false,a2hQz000000UAtjIAG,Open Royal London Life & CIC,a2YQz000000sET4MAM,ROYAL_LONDON_LIFE_&_CIC,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_ROYAL_LONDON_LIFE_&_CIC,Not required,
Not required,Not required,0121t0000001eUvAAI,0121t0000001eUvAAI,true,Not required,false,a2hQz000000UAtkIAG,Open Royal London Life Cover,a2YQz000000sET0MAM,ROYAL_LONDON_SINGLE_LIFE_COVER,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_ROYAL_LONDON_LIFE_COVER,Not required,
Not required,Not required,012Sl0000003lgjIAA,012Sl0000003lgjIAA,true,Not required,false,a2hQz000000UAtlIAG,Open Royal London Relevant Life Cover,a2YQz000000sET2MAM,ROYAL_LONDON_RELEVANT_LIFE_COVER,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_ROYAL_LONDON_RELEVANT_LIFE_COVER,Not required,
Not required,Not required,,,true,Not required,false,a2hQz000000UAtmIAG,Open product Exeter Income protection,a2YQz000000sET5MAM,THE_EXETER_IP,a24Qz0000052dwvIAA,OPEN_PRODUCT,OPEN_PRODUCT,OPEN_PRODUCT_EXETER_IP,Not required,
Not required,Not required,,,true,Not required,false,a2hQz000000UAtnIAG,Open product Exeter Life cover,a2YQz000000sET6MAM,THE_EXETER_LIFE,a24Qz0000052dwvIAA,OPEN_PRODUCT,OPEN_PRODUCT,OPEN_PRODUCT_EXETER_LIFE_COVER,Not required,
