DeveloperName__c,FulfilmentType__c,FulfilmentType__r.ReferenceName__c,FulfilmentTypeReference__c,Id,Name,NextStatus__c,ReferenceName__c,RelatedFlow__c,RelatedTaskInformation__c,Status__c,Tasks__c
LUMP_SUM_KNOWLEDGE_INTENSIVE_EIS_INVESTMENT_CHECKS,a2hQz000000UAsSIAW,LUMP_SUM_EIS,,a2gQz000000tIh1IAE,Investment checks Lump sum Knowledge Intensive EIS,,,FulfilmentScreenInvestmentChecks,ensure_eis_allotment,Investment checks,"Have all fees been received?;Were all discounts applied correctly?;Have the shares been allotted?;If the product was just opened, was a cancellation notice sent?"
CLIENT_ACTION_SIPP_CHASE_CLIENT_ACTION,a2hQz000000UAsUIAW,CLIENT_ACTION_SIPP,,a2gQz000000tIh2IAE,Chase client action Client action SIPP,,,FulfilmentScreenChaseNonStandardAction,chase_client_action,Chase client action,Has the client confirmed the action has been completed?
CLIENT_ACTION_ISA_AWAITING_AD_HOC_ACTION,a2hQz000000UAsVIAW,CLIENT_ACTION_ISA,,a2gQz000000tIh3IAE,Awaiting ad hoc action Client action ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the client confirmed the action has been completed?
CLIENT_ACTION_JISA_CHASE_CLIENT_ACTION,a2hQz000000UAsWIAW,CLIENT_ACTION_JISA,,a2gQz000000tIh4IAE,Chase client action Client action JISA,,,FulfilmentScreenChaseNonStandardAction,chase_client_action,Chase client action,Has the client confirmed the action has been completed?
CLIENT_ACTION_JSIPP_AWAITING_AD_HOC_ACTION,a2hQz000000UAsXIAW,CLIENT_ACTION_JSIPP,,a2gQz000000tIh5IAE,Awaiting ad hoc action Client action JSIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the client confirmed the action has been completed?
CLIENT_ACTION_GIA_AWAITING_AD_HOC_ACTION,a2hQz000000UAsYIAW,CLIENT_ACTION_GIA,,a2gQz000000tIh6IAE,Awaiting ad hoc action Client action GIA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the client confirmed the action has been completed?
CLIENT_ACTION_CASH_ISA_AWAITING_AD_HOC_ACTION,a2hQz000000UAsZIAW,CLIENT_ACTION_CASH_ISA,,a2gQz000000tIh7IAE,Awaiting ad hoc action Client action Cash ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the client confirmed the action has been completed?
CLIENT_ACTION_DIRECT_EQUITY_AWAITING_AD_HOC_ACTION,a2hQz000000UAsaIAG,CLIENT_ACTION_DIRECT_EQUITY,,a2gQz000000tIh8IAE,Awaiting ad hoc action Client action Direct equity,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the client confirmed the action has been completed?
CLIENT_ACTION_OFFSHORE_BOND_AWAITING_AD_HOC_ACTION,a2hQz000000UAsbIAG,CLIENT_ACTION_OFFSHORE_BOND,,a2gQz000000tIh9IAE,Awaiting ad hoc action Client action Offshore bond,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the client confirmed the action has been completed?
CLIENT_ACTION_DB_PENSION_AWAITING_AD_HOC_ACTION,a2hQz000000UAsdIAG,CLIENT_ACTION_DB_PENSION,,a2gQz000000tIhAIAU,Awaiting ad hoc action Client action DB Pension,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the client confirmed the action has been completed?
