DeveloperName__c,FulfilmentType__c,FulfilmentTypeReference__c,Id,Name,NextStatus__c,ReferenceName__c,RelatedFlow__c,RelatedTaskInformation__c,Status__c,Tasks__c
INTERNAL_TRANSFER_JUNIOR_SIPP_CHASE_TRANSFER,INTERNAL_TRANSFER_JUNIOR_SIPP,,INTERNAL_TRANSFER_JUNIOR_SIPP_CHASE_TRANSFER,Chase transfer Internal transfer Junior SIPP,,,FulfilmentScreenFundsReceived,Chase_hubwise,Chase transfer,Has the client been emailed with confirmation?;Have you added the contribution to IO (with a start date)?;Has the previous plan been updated in IO?
INTERNAL_TRANSFER_SIPP_CHASE_TRANSFER,INTERNAL_TRANSFER_SIPP,,INTERNAL_TRANSFER_SIPP_CHASE_TRANSFER,Chase transfer Internal transfer SIPP,,,FulfilmentScreenFundsReceived,Chase_hubwise,Chase transfer,Has the client been emailed with confirmation?;Have you added the contribution to IO (with a start date)?;Has the previous plan been updated in IO?
CANCEL_REGULAR_GIA_INVESTMENT_CHECKS,CANCEL_REGULAR_GIA,,CANCEL_REGULAR_GIA_INVESTMENT_CHECKS,Investment checks Cancel regular GIA,,,FulfilmentScreenInvestmentChecks,fulfilment_investment_checks,Investment checks,Have you confirmed no more contributions were taken?;Have the contributions been cancelled in IO?
CANCEL_REGULAR_ISA_INVESTMENT_CHECKS,CANCEL_REGULAR_ISA,,CANCEL_REGULAR_ISA_INVESTMENT_CHECKS,Investment checks Cancel regular ISA,,,FulfilmentScreenInvestmentChecks,fulfilment_investment_checks,Investment checks,Have you confirmed no more contributions were taken?;Have the contributions been cancelled in IO?
CANCEL_REGULAR_JUNIOR_ISA_INVESTMENT_CHECKS,CANCEL_REGULAR_JUNIOR_ISA,,CANCEL_REGULAR_JUNIOR_ISA_INVESTMENT_CHECKS,Investment checks Cancel regular Junior ISA,,,FulfilmentScreenInvestmentChecks,fulfilment_investment_checks,Investment checks,Have you confirmed no more contributions were taken?;Have the contributions been cancelled in IO?
CANCEL_REGULAR_JUNIOR_SIPP_INVESTMENT_CHECKS,CANCEL_REGULAR_JUNIOR_SIPP,,CANCEL_REGULAR_JUNIOR_SIPP_INVESTMENT_CHECKS,Investment checks Cancel regular Junior SIPP,,,FulfilmentScreenInvestmentChecks,fulfilment_investment_checks,Investment checks,Have you confirmed no more contributions were taken?;Have the contributions been cancelled in IO?
CANCEL_REGULAR_SIPP_INVESTMENT_CHECKS,CANCEL_REGULAR_SIPP,,CANCEL_REGULAR_SIPP_INVESTMENT_CHECKS,Investment checks Cancel regular SIPP,,,FulfilmentScreenInvestmentChecks,fulfilment_investment_checks,Investment checks,Have you confirmed no more contributions were taken?;Have the contributions been cancelled in IO?
CHANGE_TO_REGULAR_GIA_INVESTMENT_CHECKS,CHANGE_TO_REGULAR_GIA,,CHANGE_TO_REGULAR_GIA_INVESTMENT_CHECKS,Investment checks Change to regular GIA,,,FulfilmentScreenInvestmentChecks,fulfilment_investment_checks,Investment checks,Is the investment mandate correct?;Is the plan and all contributions in IO correctly?;Did we receive the expected amount?
CHANGE_TO_REGULAR_ISA_INVESTMENT_CHECKS,CHANGE_TO_REGULAR_ISA,,CHANGE_TO_REGULAR_ISA_INVESTMENT_CHECKS,Investment checks Change to regular ISA,,,FulfilmentScreenInvestmentChecks,fulfilment_investment_checks,Investment checks,Is the investment mandate correct?;Is the plan and all contributions in IO correctly?;Did we receive the expected amount?
CHANGE_TO_REGULAR_JUNIOR_ISA_INVESTMENT_CHECKS,CHANGE_TO_REGULAR_JUNIOR_ISA,,CHANGE_TO_REGULAR_JUNIOR_ISA_INVESTMENT_CHECKS,Investment checks Change to regular Junior ISA,,,FulfilmentScreenInvestmentChecks,fulfilment_investment_checks,Investment checks,Is the investment mandate correct?;Is the plan and all contributions in IO correctly?;Did we receive the expected amount?
CHANGE_TO_REGULAR_JUNIOR_SIPP_INVESTMENT_CHECKS,CHANGE_TO_REGULAR_JUNIOR_SIPP,,CHANGE_TO_REGULAR_JUNIOR_SIPP_INVESTMENT_CHECKS,Investment checks Change to regular Junior SIPP,,,FulfilmentScreenInvestmentChecks,fulfilment_investment_checks,Investment checks,Is the investment mandate correct?;Is the plan and all contributions in IO correctly?;Did we receive the expected amount?
CHANGE_TO_REGULAR_SIPP_INVESTMENT_CHECKS,CHANGE_TO_REGULAR_SIPP,,CHANGE_TO_REGULAR_SIPP_INVESTMENT_CHECKS,Investment checks Change to regular SIPP,,,FulfilmentScreenInvestmentChecks,fulfilment_investment_checks,Investment checks,Is the investment mandate correct?;Is the plan and all contributions in IO correctly?;Did we receive the expected amount?
