AdditionalAmlRequirement__c,AdditionalBankDetails__c,DestinationProductRecordType__c,DestinationProductType__c,ExcludeFromUpdate__c,ExpressionOfWishFormRequirement__c,FormsRequired__c,Id,Name,Product__c,Product__r.ReferenceName__c,RecommendationType__c,RecommendationType__r.ReferenceName__c,RecommendationTypeReference__c,ReferenceName__c,TransferFormsRequirement__c,UpdateEmailHeadline__c
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,true,Not required,false,a2hSl0000004Hn3IAE,Open product Apollo VCT,a2Y8e0000015gGnEAI,VCT_APOLLO_OI,a248e000000yLgSAAU,OPEN_PRODUCT,,OPEN_PRODUCT_VCT_APOLLO,Not required,
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,true,Not required,false,a2hSl0000004Hn4IAE,Open product Titan VCT,a2Y8e0000015gGsEAI,VCT_TITAN_OI,a248e000000yLgSAAU,OPEN_PRODUCT,,OPEN_PRODUCT_VCT_TITAN,Not required,
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,true,Not required,false,a2hSl0000004Hn5IAE,Open product AIM VCT,a2Y8e0000015gH2EAI,AIM_OI_VCT,a248e000000yLgSAAU,OPEN_PRODUCT,,OPEN_PRODUCT_VCT_AIM,Not required,
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,true,Not required,false,a2hSl0000004Hn6IAE,Open product Future generations VCT,a2Y8e0000015gH7EAI,FG_OI_VCT,a248e000000yLgSAAU,OPEN_PRODUCT,,OPEN_PRODUCT_VCT_FG,Not required,
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,false,Not required,false,a2hSl0000004Hn7IAE,Lump sum Apollo VCT,a2Y8e0000015gGnEAI,VCT_APOLLO_OI,a248e000000c8eAAAQ,LUMP_SUM,,LUMP_SUM_VCT_APOLLO,Not required,Lump sum to your new VCT
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,false,Not required,false,a2hSl0000004Hn8IAE,Lump sum Titan VCT,a2Y8e0000015gGsEAI,VCT_TITAN_OI,a248e000000c8eAAAQ,LUMP_SUM,,LUMP_SUM_VCT_TITAN,Not required,Lump sum to your new VCT
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,false,Not required,false,a2hSl0000004Hn9IAE,Lump sum AIM VCT,a2Y8e0000015gH2EAI,AIM_OI_VCT,a248e000000c8eAAAQ,LUMP_SUM,,LUMP_SUM_VCT_AIM,Not required,Lump sum to your new VCT
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,false,Not required,false,a2hSl0000004HnAIAU,Lump sum Future generations VCT,a2Y8e0000015gH7EAI,FG_OI_VCT,a248e000000c8eAAAQ,LUMP_SUM,,LUMP_SUM_VCT_FG,Not required,Lump sum to your new VCT
Not required,Not required,012Sl0000003lgjIAA,012Sl0000003lgjIAA,true,Not required,false,a2hSl0000004HnBIAU,Open LV Relevant Life Cover,a2YSl0000000kUJMAY,LV_RELEVANT_LIFE,a248e000000yLgSAAU,OPEN_PRODUCT,,OPEN_LV_RELEVANT_LIFE_COVER,Not required,
Not required,Not required,0124J000000cvmJQAQ,0124J000000cvmJQAQ,true,Not required,false,a2hSl0000004HnCIAU,Open LV Family Income Benefit,a2YSl0000000kUIMAY,LV_FIB,a248e000000yLgSAAU,OPEN_PRODUCT,,OPEN_LV_FAMILY_INCOME_BENEFIT,Not required,
Not required,Not required,0121t0000001eUvAAI,0121t0000001eUvAAI,true,Not required,false,a2hSl0000004HnDIAU,Open LV Life Cover,a2YSl0000000kUHMAY,LV_SINGLE_LIFE_COVER,a248e000000yLgSAAU,OPEN_PRODUCT,,OPEN_LV_LIFE_COVER,Not required,
Not required,Not required,0121t0000001eUZAAY,0121t0000001eUZAAY,true,Not required,false,a2hSl0000004HnEIAU,Open LV Income Protection,a2YSl0000000kUKMAY,LV_INCOME_PROTECTION,a248e000000yLgSAAU,OPEN_PRODUCT,,OPEN_LV_INCOME_PROTECTION,Not required,
Not required,Not required,0121t0000001eU7AAI,0121t0000001eU7AAI,true,Not required,false,a2hSl0000004HnFIAU,Open LV Life & CIC,a2YSl0000000kULMAY,LV_LIFE_CIC,a248e000000yLgSAAU,OPEN_PRODUCT,,OPEN_LV_LIFE_CIC,Not required,
