DeveloperName__c,Id,Name,NovaId__c,OW_group_company__c,OW_own_company__c,PartnerCompany__c,ProtectionPartner__c,ReferenceName__c
SELFTRADE,SELFTRADE,Selftrade,a264J000001QEYLQA4,False,False,False,False,
SEVEN_INVESTMENT_MANAGEMENT,SEVEN_INVESTMENT_MANAGEMENT,Seven Investment Management,a264J000001QEYMQA4,False,False,False,False,
SHELL,SHELL,Shell,a264J000001QEYNQA4,False,False,False,False,
SHOJIN,SHOJIN,Shojin,a264J000001QEYOQA4,False,False,False,False,
SIPPDEALXTRA,SIPPDEALXTRA,Sippdealxtra,a264J000001QEYPQA4,False,False,False,False,
SKIPTON,SKIPTON,Skipton,a264J000001QEYQQA4,False,False,False,False,
SMART_PENSION,SMART_PENSION,Smart Pension,a264J000001QEYRQA4,False,False,False,False,
SMITH__NEPHEW_UK_PENSION_FUND,SMITH__NEPHEW_UK_PENSION_FUND,Smith & Nephew UK Pension Fund,a264J000001QEYSQA4,False,False,False,False,
SOLIDUS,SOLIDUS,Solidus,a264J000001QEYTQA4,False,False,False,False,
SPEIRS__JEFFREY,SPEIRS__JEFFREY,Speirs & Jeffrey,a264J000001QEYUQA4,False,False,False,False,
STANDARD_LIFE,STANDARD_LIFE,Standard Life,a264J000001QEYVQA4,False,False,False,False,
STANDARD_LIFE_ELEVATE,STANDARD_LIFE_ELEVATE,Standard Life (Elevate),a264J000001QEYWQA4,False,False,False,False,
STANDARD_LIFE_WRAP,STANDARD_LIFE_WRAP,Standard Life (Wrap),a264J000001QEYXQA4,False,False,False,False,
STERLING,STERLING,Sterling,a264J000001QEYYQA4,False,False,False,False,
ST_JAMESS_PLACE,ST_JAMESS_PLACE,St James's Place,a264J000001QEYZQA4,False,False,False,False,
SUFFOLK_LIFE,SUFFOLK_LIFE,Suffolk Life,a264J000001QEYaQAO,False,False,False,False,
SUN_LIFE,SUN_LIFE,Sun Life,a264J000001QEYbQAO,False,False,False,False,
SYNERGY_FINANCIAL,SYNERGY_FINANCIAL,Synergy Financial,a264J000001QEYcQAO,False,False,False,False,
TEACHERS_PENSIONS,TEACHERS_PENSIONS,Teachers' Pensions,a264J000001QEYdQAO,False,False,False,False,
TESCO,TESCO,Tesco,a264J000001QEYeQAO,False,False,False,False,
TFL,TFL,TFL,a264J000001QEYfQAO,False,False,False,False,
THE_SHARE_CENTRE,THE_SHARE_CENTRE,The Share Centre,a264J000001QEYgQAO,False,False,False,False,
THOMSON_REUTERS_CAPITA,THOMSON_REUTERS_CAPITA,Thomson Reuters (Capita),a264J000001QEYhQAO,False,False,False,False,
TILNEY,TILNEY,Tilney,a264J000001QEYiQAO,False,False,False,False,
TOWERS_WATSON,TOWERS_WATSON,Towers Watson,a264J000001QEYjQAO,False,False,False,False,
TOWRY,TOWRY,Towry,a264J000001QEYkQAO,False,False,False,False,
TPT,TPT,TPT,a264J000001QEYlQAO,False,False,False,False,
TRANSACT,TRANSACT,Transact,a264J000001QEYmQAO,False,False,True,False,TRANSACT
TRIODOS_BANK,TRIODOS_BANK,Triodos Bank,a264J000001QEYnQAO,False,False,False,False,
